playlist_id,song_id
1,143
1,81
1,75
1,93
1,27
1,44
1,10
1,195
1,29
1,39
1,42
1,121
1,110
1,5
1,25
1,52
1,150
1,135
2,96
2,31
2,136
2,70
2,174
2,33
2,72
2,143
2,25
2,179
2,35
2,88
2,85
2,105
2,137
3,131
3,147
3,88
3,93
3,162
3,178
3,149
3,66
3,159
3,97
3,63
3,6
3,135
3,158
3,85
3,161
3,20
3,22
3,70
4,27
4,173
4,56
4,128
5,164
6,80
6,11
6,120
6,10
6,132
6,47
6,95
6,65
6,55
6,156
6,90
6,153
6,191
6,92
6,194
6,86
6,136
7,55
7,196
7,123
7,177
7,183
7,140
7,194
7,34
7,129
8,168
8,131
8,126
8,22
8,117
8,114
8,128
8,145
8,58
8,54
8,122
9,122
9,5
9,15
9,90
9,134
9,11
9,57
9,146
9,82
10,25
10,20
11,34
11,11
11,182
11,50
11,196
11,9
11,183
11,36
11,160
11,114
11,124
11,47
11,127
11,178
11,57
11,31
11,98
11,188
11,132
11,161
11,18
11,43
11,60
12,191
12,143
12,86
12,5
12,2
12,69
12,27
12,78
12,112
12,73
12,101
12,140
12,102
12,11
12,165
12,138
12,6
12,55
12,47
12,106
12,65
12,146
12,49
12,22
12,71
13,91
13,87
13,173
13,178
14,24
14,138
14,108
14,116
14,109
14,194
14,169
14,133
14,136
14,121
14,137
14,88
14,57
14,167
14,156
14,28
14,45
14,30
14,90
14,75
15,128
15,30
15,179
15,40
15,43
15,123
15,105
15,160
15,5
15,54
15,70
15,36
15,104
15,10
15,166
16,62
16,95
16,24
16,167
16,85
16,34
16,148
16,170
16,188
16,8
16,177
16,64
16,9
16,41
16,78
16,86
16,189
16,135
16,129
17,75
17,51
17,109
17,130
17,48
17,94
17,47
17,7
17,167
17,14
17,5
17,107
17,190
19,170
19,84
19,20
19,39
19,165
19,51
19,10
19,156
20,12
20,143
20,101
20,49
20,69
20,109
20,103
20,74
20,19
20,22
20,61
20,134
20,71
20,84
21,187
21,192
21,40
21,93
22,42
22,32
22,75
22,112
22,33
22,133
23,108
23,130
23,109
23,54
23,191
23,137
23,172
23,73
23,161
23,70
23,84
23,103
23,181
23,67
24,63
24,32
24,103
24,162
24,142
24,109
24,46
24,49
24,14
24,78
24,15
24,85
24,114
25,141
26,40
26,138
26,130
26,107
26,53
26,90
26,178
26,99
26,172
26,43
26,114
26,16
26,38
26,30
26,76
26,64
26,181
26,159
26,182
26,116
26,61
26,50
26,22
26,140
26,129
27,21
27,127
27,132
27,119
27,48
27,94
27,144
27,155
27,157
27,139
27,161
27,81
27,125
27,10
27,88
27,98
27,68
27,64
27,141
27,177
27,67
27,162
27,12
27,15
27,193
28,186
28,191
28,137
28,139
28,179
28,121
28,35
28,73
28,44
28,114
28,34
28,27
28,142
28,23
28,113
28,42
28,86
28,193
28,92
28,20
28,160
29,24
29,121
29,96
29,39
29,59
29,3
30,47
30,92
30,84
30,38
30,23
30,88
30,147
30,82
30,8
30,140
31,132
31,135
31,196
31,70
31,63
31,92
31,16
32,35
32,60
32,144
33,154
33,27
33,181
33,16
33,102
33,6
33,91
33,71
33,36
33,152
33,54
33,33
33,145
33,180
33,18
33,148
33,90
33,29
33,106
33,121
34,103
34,172
34,57
34,153
34,56
34,72
34,58
34,75
34,181
34,98
34,25
34,54
34,163
34,97
34,119
34,192
